iter	Passed	Remaining
0	148	148209
1	153	76481
2	158	52625
3	162	40557
4	167	33352
5	172	28585
6	178	25264
7	183	22723
8	188	20790
9	193	19162
10	196	17694
11	200	16491
12	202	15407
13	204	14436
14	207	13600
15	209	12861
16	211	12208
17	212	11609
18	214	11074
19	215	10583
20	217	10149
21	219	9746
22	220	9387
23	222	9052
24	224	8741
25	225	8449
26	226	8172
27	228	7915
28	229	7678
29	230	7463
30	231	7250
31	233	7051
32	234	6866
33	235	6689
34	236	6520
35	237	6360
36	238	6210
37	239	6068
38	240	5929
39	241	5799
40	242	5676
41	243	5563
42	245	5454
43	246	5351
44	247	5252
45	248	5157
46	249	5064
47	251	4979
48	252	4896
49	253	4814
50	254	4736
51	255	4661
52	256	4587
53	257	4517
54	258	4449
55	260	4384
56	261	4323
57	262	4261
58	263	4205
59	264	4150
60	265	4094
61	267	4041
62	268	3990
63	269	3939
64	270	3889
65	271	3844
66	272	3796
67	273	3745
68	274	3704
69	275	3664
70	277	3626
71	278	3588
72	279	3550
73	280	3513
74	281	3477
75	283	3442
76	284	3407
77	285	3372
78	286	3339
79	287	3308
80	288	3277
81	290	3247
82	291	3217
83	292	3188
84	293	3155
85	294	3127
86	295	3096
87	296	3070
88	297	3045
89	298	3021
90	300	2997
91	301	2974
92	302	2952
93	304	2930
94	305	2907
95	306	2884
96	307	2861
97	308	2838
98	309	2814
99	310	2792
100	311	2771
101	312	2747
102	313	2727
103	314	2707
104	315	2687
105	316	2668
106	317	2649
107	318	2630
108	319	2612
109	320	2596
110	321	2578
111	323	2564
112	324	2550
113	326	2537
114	327	2523
115	329	2507
116	330	2494
117	331	2479
118	332	2462
119	333	2448
120	335	2434
121	336	2421
122	337	2403
123	337	2387
124	339	2373
125	340	2361
126	341	2349
127	342	2333
128	343	2318
129	344	2305
130	345	2292
131	346	2279
132	347	2267
133	348	2255
134	350	2242
135	351	2230
136	352	2218
137	352	2204
138	354	2194
139	355	2183
140	356	2174
141	357	2162
142	358	2151
143	360	2140
144	360	2128
145	361	2117
146	362	2105
147	363	2095
148	364	2084
149	365	2073
150	366	2063
151	367	2052
152	368	2042
153	369	2032
154	371	2022
155	372	2012
156	372	2002
157	374	1994
158	375	1984
159	376	1975
160	377	1968
161	378	1959
162	379	1950
163	381	1942
164	382	1934
165	383	1926
166	384	1917
167	385	1909
168	386	1901
169	388	1894
170	389	1886
171	390	1878
172	391	1871
173	392	1863
174	394	1858
175	395	1850
176	396	1841
177	397	1833
178	398	1825
179	399	1819
180	399	1809
181	401	1802
182	402	1795
183	403	1790
184	404	1782
185	405	1775
186	406	1769
187	408	1762
188	409	1756
189	410	1750
190	411	1743
191	412	1736
192	413	1730
193	415	1724
194	416	1718
195	417	1713
196	419	1707
197	420	1702
198	422	1701
199	424	1697
200	425	1691
201	426	1685
202	427	1679
203	428	1673
204	429	1667
205	431	1661
206	432	1656
207	433	1650
208	434	1645
209	435	1640
210	436	1633
211	437	1627
212	439	1622
213	440	1617
214	441	1611
215	442	1605
216	443	1600
217	444	1594
218	445	1589
219	446	1584
220	447	1578
221	448	1572
222	449	1567
223	450	1561
224	451	1555
225	452	1550
226	453	1545
227	454	1540
228	455	1535
229	457	1530
230	458	1525
231	459	1520
232	460	1515
233	461	1510
234	462	1504
235	463	1499
236	464	1494
237	465	1489
238	466	1484
239	467	1479
240	468	1474
241	469	1469
242	470	1465
243	471	1460
244	472	1455
245	473	1450
246	474	1445
247	475	1440
248	476	1436
249	477	1431
250	478	1427
251	479	1422
252	480	1417
253	481	1413
254	482	1408
255	483	1403
256	484	1399
257	485	1395
258	486	1390
259	487	1386
260	488	1382
261	489	1377
262	490	1373
263	491	1368
264	491	1364
265	492	1360
266	494	1356
267	495	1352
268	496	1347
269	497	1343
270	498	1339
271	499	1335
272	500	1331
273	501	1327
274	502	1323
275	503	1319
276	504	1315
277	505	1311
278	506	1307
279	507	1304
280	508	1300
281	509	1296
282	510	1292
283	511	1289
284	512	1285
285	513	1281
286	514	1278
287	515	1274
288	516	1271
289	517	1267
290	518	1264
291	519	1260
292	520	1256
293	522	1253
294	523	1250
295	524	1247
296	525	1243
297	526	1240
298	527	1236
299	528	1233
300	529	1230
301	531	1227
302	532	1223
303	533	1220
304	534	1216
305	535	1213
306	535	1209
307	536	1206
308	537	1202
309	538	1199
310	539	1196
311	540	1192
312	541	1189
313	543	1186
314	544	1183
315	545	1180
316	546	1176
317	547	1173
318	548	1169
319	548	1166
320	549	1163
321	550	1159
322	551	1156
323	552	1153
324	553	1149
325	554	1146
326	555	1143
327	556	1140
328	557	1137
329	558	1134
330	559	1131
331	560	1128
332	561	1125
333	562	1122
334	563	1119
335	564	1116
336	565	1113
337	566	1109
338	567	1106
339	568	1103
340	569	1101
341	570	1098
342	571	1095
343	572	1092
344	573	1089
345	574	1086
346	576	1084
347	577	1081
348	577	1078
349	578	1074
350	579	1071
351	580	1068
352	581	1065
353	582	1063
354	583	1060
355	584	1057
356	585	1054
357	586	1052
358	587	1049
359	588	1046
360	589	1044
361	590	1041
362	591	1038
363	592	1035
364	593	1033
